,X.1,X,Date,AveragePrice,Total.Volume,X4046,X4225,X4770,Total.Bags,Small.Bags,Large.Bags,XLarge.Bags,type,year,region,Markets,Revenue
1,1,0,12/27/15,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany,Northeast,85434.7046
2,2,1,12/20/15,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany,Northeast,74083.923
3,3,2,12/13/15,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany,Northeast,109944.8046
4,4,3,12/6/15,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany,Northeast,85311.522
5,5,4,11/29/15,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany,Northeast,65330.688
6,6,5,11/22/15,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany,Northeast,70534.5228
7,7,6,11/15/15,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany,Northeast,82619.2224
8,8,7,11/8/15,0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany,Northeast,107239.7634
9,9,8,11/1/15,1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany,Northeast,101807.6484
10,10,9,10/25/15,1.07,74338.76,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany,Northeast,79542.4732
11,11,10,10/18/15,1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany,Northeast,95024.6528
12,12,11,10/11/15,1.28,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany,Northeast,82546.1376
13,13,12,10/4/15,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany,Northeast,79919.301
14,14,13,9/27/15,0.99,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany,Northeast,105735.3561
15,15,14,9/20/15,1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,conventional,2015,Albany,Northeast,92779.4833
16,16,15,9/13/15,1.28,76111.27,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany,Northeast,97422.4256
17,17,16,9/6/15,1.11,99172.96,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,conventional,2015,Albany,Northeast,110081.9856
18,18,17,8/30/15,1.07,105693.84,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,conventional,2015,Albany,Northeast,113092.4088
19,19,18,8/23/15,1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,conventional,2015,Albany,Northeast,107189.4006
20,20,19,8/16/15,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,conventional,2015,Albany,Northeast,106458.2274
21,21,20,8/9/15,1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0,conventional,2015,Albany,Northeast,124477.8416
22,22,21,8/2/15,1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,conventional,2015,Albany,Northeast,108942.995
23,23,22,7/26/15,1.11,106757.1,648.75,91949.05,966.61,13192.69,13061.53,131.16,0,conventional,2015,Albany,Northeast,118500.381
24,24,23,7/19/15,1.26,96617,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,conventional,2015,Albany,Northeast,121737.42
25,25,24,7/12/15,1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany,Northeast,130258.0755
26,26,25,7/5/15,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,conventional,2015,Albany,Northeast,147490.362
27,27,26,6/28/15,1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,conventional,2015,Albany,Northeast,122662.6897
28,28,27,6/21/15,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662,213.65,0,conventional,2015,Albany,Northeast,133158.7253
29,29,28,6/14/15,1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,conventional,2015,Albany,Northeast,118313.316
30,30,29,6/7/15,1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,460.22,0,conventional,2015,Albany,Northeast,131335.0742
31,31,30,5/31/15,1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,conventional,2015,Albany,Northeast,117002.0526
32,32,31,5/24/15,1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0,conventional,2015,Albany,Northeast,120750.3829
33,33,32,5/17/15,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,conventional,2015,Albany,Northeast,157096.1821
34,34,33,5/10/15,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,conventional,2015,Albany,Northeast,151739.1666
35,35,34,5/3/15,1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,conventional,2015,Albany,Northeast,71037.204
36,36,35,4/26/15,1.22,49585.46,875.65,35841.75,89.62,12778.44,12076.83,701.61,0,conventional,2015,Albany,Northeast,60494.2612
37,37,36,4/19/15,1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,conventional,2015,Albany,Northeast,58387.0287
38,38,37,4/12/15,1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,conventional,2015,Albany,Northeast,54651.6477
39,39,38,4/5/15,1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany,Northeast,54940.0708
40,40,39,3/29/15,1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,conventional,2015,Albany,Northeast,69155.0616
