PassengerId,Name,Survived,Pclass,Sex,SibSp,ParCh,Fare,Embarked
1,"Braund, Mr. Owen Harris",0,3,male,1,0,7.25,S
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,1,female,1,0,71.2833,C
3,"Heikkinen, Miss. Laina",1,3,female,0,0,7.925,S
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,1,female,1,0,53.1,S
5,"Allen, Mr. William Henry",0,3,male,0,0,8.05,S
6,"Moran, Mr. James",0,3,male,0,0,8.4583,Q
7,"McCarthy, Mr. Timothy J",0,1,male,0,0,51.8625,S
8,"Palsson, Master. Gosta Leonard",0,3,male,3,1,21.075,S
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,3,female,0,2,11.1333,S
10,"Nasser, Mrs. Nicholas (Adele Achem)",1,2,female,1,0,30.0708,C
11,"Sandstrom, Miss. Marguerite Rut",1,3,female,1,1,16.7,S
12,"Bonnell, Miss. Elizabeth",1,1,female,0,0,26.55,S
13,"Saundercock, Mr. William Henry",0,3,male,0,0,8.05,S
14,"Andersson, Mr. Anders Johan",0,3,male,1,5,31.275,S
15,"Vestrom, Miss. Hulda Amanda Adolfina",0,3,female,0,0,7.8542,S
16,"Hewlett, Mrs. (Mary D Kingcome) ",1,2,female,0,0,16,S
17,"Rice, Master. Eugene",0,3,male,4,1,29.125,Q
18,"Williams, Mr. Charles Eugene",1,2,male,0,0,13,S
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,3,female,1,0,18,S
20,"Masselmani, Mrs. Fatima",1,3,female,0,0,7.225,C
21,"Fynney, Mr. Joseph J",0,2,male,0,0,26,S
22,"Beesley, Mr. Lawrence",1,2,male,0,0,13,S
23,"McGowan, Miss. Anna ""Annie""",1,3,female,0,0,8.0292,Q
24,"Sloper, Mr. William Thompson",1,1,male,0,0,35.5,S
25,"Palsson, Miss. Torborg Danira",0,3,female,3,1,21.075,S
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,3,female,1,5,31.3875,S
27,"Emir, Mr. Farred Chehab",0,3,male,0,0,7.225,C
28,"Fortune, Mr. Charles Alexander",0,1,male,3,2,263,S
29,"O'Dwyer, Miss. Ellen ""Nellie""",1,3,female,0,0,7.8792,Q
30,"Todoroff, Mr. Lalio",0,3,male,0,0,7.8958,S
31,"Uruchurtu, Don. Manuel E",0,1,male,0,0,27.7208,C
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,1,female,1,0,146.5208,C
33,"Glynn, Miss. Mary Agatha",1,3,female,0,0,7.75,Q
34,"Wheadon, Mr. Edward H",0,2,male,0,0,10.5,S
35,"Meyer, Mr. Edgar Joseph",0,1,male,1,0,82.1708,C
36,"Holverson, Mr. Alexander Oskar",0,1,male,1,0,52,S
37,"Mamee, Mr. Hanna",1,3,male,0,0,7.2292,C
38,"Cann, Mr. Ernest Charles",0,3,male,0,0,8.05,S
39,"Vander Planke, Miss. Augusta Maria",0,3,female,2,0,18,S
40,"Nicola-Yarred, Miss. Jamila",1,3,female,1,0,11.2417,C
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,3,female,1,0,9.475,S
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,2,female,1,0,21,S
43,"Kraeff, Mr. Theodor",0,3,male,0,0,7.8958,C
44,"Laroche, Miss. Simonne Marie Anne Andree",1,2,female,1,2,41.5792,C
45,"Devaney, Miss. Margaret Delia",1,3,female,0,0,7.8792,Q
46,"Rogers, Mr. William John",0,3,male,0,0,8.05,S
47,"Lennon, Mr. Denis",0,3,male,1,0,15.5,Q
48,"O'Driscoll, Miss. Bridget",1,3,female,0,0,7.75,Q
49,"Samaan, Mr. Youssef",0,3,male,2,0,21.6792,C
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,3,female,1,0,17.8,S
51,"Panula, Master. Juha Niilo",0,3,male,4,1,39.6875,S
52,"Nosworthy, Mr. Richard Cater",0,3,male,0,0,7.8,S
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,1,female,1,0,76.7292,C
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,2,female,1,0,26,S
55,"Ostby, Mr. Engelhart Cornelius",0,1,male,0,1,61.9792,C
56,"Woolner, Mr. Hugh",1,1,male,0,0,35.5,S
57,"Rugg, Miss. Emily",1,2,female,0,0,10.5,S
58,"Novel, Mr. Mansouer",0,3,male,0,0,7.2292,C
59,"West, Miss. Constance Mirium",1,2,female,1,2,27.75,S
60,"Goodwin, Master. William Frederick",0,3,male,5,2,46.9,S
61,"Sirayanian, Mr. Orsen",0,3,male,0,0,7.2292,C
62,"Icard, Miss. Amelie",1,1,female,0,0,80,
63,"Harris, Mr. Henry Birkhardt",0,1,male,1,0,83.475,S
64,"Skoog, Master. Harald",0,3,male,3,2,27.9,S
65,"Stewart, Mr. Albert A",0,1,male,0,0,27.7208,C
66,"Moubarek, Master. Gerios",1,3,male,1,1,15.2458,C
67,"Nye, Mrs. (Elizabeth Ramell)",1,2,female,0,0,10.5,S
68,"Crease, Mr. Ernest James",0,3,male,0,0,8.1583,S
69,"Andersson, Miss. Erna Alexandra",1,3,female,4,2,7.925,S
70,"Kink, Mr. Vincenz",0,3,male,2,0,8.6625,S
71,"Jenkin, Mr. Stephen Curnow",0,2,male,0,0,10.5,S
72,"Goodwin, Miss. Lillian Amy",0,3,female,5,2,46.9,S
73,"Hood, Mr. Ambrose Jr",0,2,male,0,0,73.5,S
74,"Chronopoulos, Mr. Apostolos",0,3,male,1,0,14.4542,C
75,"Bing, Mr. Lee",1,3,male,0,0,56.4958,S
76,"Moen, Mr. Sigurd Hansen",0,3,male,0,0,7.65,S
77,"Staneff, Mr. Ivan",0,3,male,0,0,7.8958,S
78,"Moutal, Mr. Rahamin Haim",0,3,male,0,0,8.05,S
79,"Caldwell, Master. Alden Gates",1,2,male,0,2,29,S
80,"Dowdell, Miss. Elizabeth",1,3,female,0,0,12.475,S
81,"Waelens, Mr. Achille",0,3,male,0,0,9,S
82,"Sheerlinck, Mr. Jan Baptist",1,3,male,0,0,9.5,S
